,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8559212094102,590.5058755797747,369.7072322765477,357.202848575393,400.515593762192,456.37493327627317,504.0598426422335,523.284410700367,609.1716536846596,597.4328987922785,622.7409229452807,694.4234553732289,783.2412149600906,930.1254726541249,1191.9210056323773,1643.7568888914611,2158.1480742298018,3139.280710354477,4010.8613808483274,2994.340470908163,3218.378299274189,3525.807198135572,3681.8446906049526,3838.1738799778586,3986.231623767126,3607.289298553611,3591.828052216386,3914.527854366958,4220.540320791452,4604.646323556948,4266.018074209457,4670.008798000999
11,American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.655381959137,8807.46281200101,8528.248776891629,8395.318770253707,8340.523439746908,8874.877927596073,9740.824491215864,11910.013233348038,10216.817630696813,10223.29835889158,11496.524097792308,11450.724195487912,11525.156387230916,12059.635164677633,12038.249699492277,11003.829764280705,11521.609779845297,11715.360138848713,12844.900990995888,
12,Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1246.6901596426064,1416.5405313111557,1760.8313244800297,2124.6185264814126,2392.6869579446898,2660.5580914355596,2948.317275497547,3372.6020700552936,3899.3918396830104,4703.179401184389,5463.595382688442,6454.835450917739,7076.536334906035,7347.646368643282,7602.345334144649,7745.721799616523,8136.188547274489,8771.143727468781,8406.358945152047,9030.5749776224,9491.660765594968,9940.852227690342,10260.599405415538,10872.292951575122,10367.319606816058,10401.050875903362,10797.951057183698,11446.969141718168,12557.54785007688,13995.804424384487,15622.692871023804,16044.105796313212,14160.562000733542,13048.960581619902,12746.633468202093,13272.734944729369,12910.59062559445,13501.58092233674,14285.329777309129,15198.742966411184,15383.576397985618,16679.591662454503,17376.64967650037,13992.744480449732,14900.797402215438
13,Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.6192301340272,1877.6166377324962,1854.656833854213,1967.1165373103186,2131.3779481792535,2281.0987966852267,2343.9952901314896,2580.271095711874,2724.3725193188393,2991.607197929114,3305.126394310462,3495.579294206709,3950.170893918106,4771.6719859735,6484.119872338856,7005.906587577976,7489.594160328122,7778.164008014622,8255.744543034083,9297.333417173619,10211.837188790898,11854.588495389822,12788.549290120907,11538.39841870945,12454.551717239645,11459.179567837047,11384.938238764647,11645.452593938859,14279.15943879457,17828.04823290228,18243.471418367164,18855.761996420195,18604.188269961312,17667.187099750226,18079.38017937455,20358.333356341325,21904.294117759175,23509.42346845144,21345.970986855176,20558.96040219811,21697.708479773104,19527.32357679541,20117.78889126636,23492.405174227195,30513.94174097484,34080.99989532445,36117.48798367403,41001.14297909994,49654.91059573894,42783.322565114846,52087.97228888914,62574.145703241156,68027.84170673776,68156.62791620853,62511.690589528385,56707.02207721163,49881.76371404656,53934.25017504627,57180.77940016135,54875.285956335065,51680.316522943845,59934.129408889545
14,Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268504154,1031.8150043290987,1087.8342434189017,1167.0005324458452,1269.4125828925592,1374.5321398607475,1486.9686060056572,1569.6671828996664,1677.6735280427151,1825.3861255212357,2058.7690508754913,2380.978458017423,2924.048878991049,3890.722419419687,4630.757197379559,5285.620724141213,5678.3866581001785,6810.627684696336,8205.468977150396,9793.765348150167,10869.54649405255,9385.249063983432,9410.347256529889,9537.407420433776,8991.06503963026,9172.096760018328,13083.072662104383,16392.769523474904,17578.618939739667,17468.946137256946,21680.989623313002,22410.911766665427,24880.164118036148,24081.52779280042,25646.70065916842,30325.849581839615,29809.076773082146,26705.47859938913,27361.875110643698,27183.475926395644,24625.600722743384,24558.763677886778,26527.59309103471,32294.04886065587,36889.23351351943,38417.45778576772,40669.326958615246,46915.33740045066,51919.98357542264,48153.32401996311,46903.76158543428,51442.27624644072,48564.91733508746,50731.12725418466,51786.37717479049,44195.817594774824,45307.58786204294,47429.15845643865,51486.57550148242,50114.40110997282,48588.6593847921,53267.932749113184
15,Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.5308891620664,1209.1876020119378,60.458213579636485,209.47857180978812,157.0860590545482,314.5612263136239,409.16318910647857,505.5003493331044,561.9068078718692,573.9165123340894,655.1199451708164,703.6838434327224,763.0806379853582,883.7339714984523,1045.0093791680526,1578.4023902960269,2473.0818186353627,3851.4378687117223,5574.603802186126,4950.294791423751,5843.5337683582,7189.691229207655,7496.294647682633,7875.756952542878,7891.313147499859,5500.31038244408,3880.7387308955604,4147.089715691707,4739.841710283928,4805.753717659173,4229.910649045028,5384.034998045209
16,Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.05190989751334,71.16718820882348,73.43533082013676,78.51462075498176,86.16154951339792,51.38188125786926,52.182551698084914,54.80644312077218,54.90076207771814,55.71493390295825,69.76938418271878,71.62670983407527,69.13961473267625,84.41878205223281,94.68539953716132,113.75315611957771,118.91493305873402,142.05298389328988,154.5162732994187,193.14996391638869,221.2319417878031,227.128120029126,231.34369384717866,240.7817031839524,213.616841365552,242.05850381016825,245.9153274962739,225.07147578873463,209.41486084378872,209.89441260543074,208.14667889906409,209.7780110067837,190.48887993529584,161.88752502587232,156.81238097972508,167.0988878460357,143.40232377252116,158.91466988048685,144.49301730248712,128.93891868972065,136.46397080034015,134.36342691762275,123.1175361410868,113.56725130887475,128.3367028109053,151.6815663430016,167.37646250499455,172.49559664894116,198.3528517363669,212.1370572199972,234.2355388776341,249.57797936680134,252.36246958645094,256.9736979308499,274.85783623178816,305.51114409947536,251.65147722752891,250.51460073269524,238.0343095547171,223.862875707709,233.83751030666906,236.79541416509534
17,Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.6916591028862,1350.1976733312283,1438.523233068398,1535.0237290104324,1701.846275543195,1835.5947655319421,1957.6260804276205,2086.636005446544,2222.3615105191348,2458.081820037733,2765.890996647944,3082.927988791257,3831.631899994329,4900.962200758661,5733.79813933878,6701.377360524328,7243.047341195829,8426.94695947372,10289.76841732961,11810.61587547254,12864.002566139616,10622.802483078915,9343.861099596179,8846.234298469735,8457.268803163739,8750.818512505355,12170.040696270156,15135.852311696835,16391.09382779102,16525.061743284838,20600.375278982698,21041.660651964783,23372.61917101503,22283.936021355126,24208.554793144656,28413.826438736807,27489.555177048835,24820.93805038961,25338.44329349042,25252.80190665645,23098.88650774014,23015.07126324619,25006.191397109003,30655.209267902366,35429.40779333441,36809.70134036188,38705.10679591471,44319.16544881302,48303.397956285975,44760.29124437094,44184.94635396398,47410.56692774637,44670.56068451006,46757.951855959756,47764.07151208328,41008.29671947198,42012.622719101564,44198.4823908691,47549.20804945462,46599.11133509379,45189.36690031261,51767.788572364625
18,Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,93.02270026776833,95.57223223087377,94.46449724230357,99.8589175338946,104.33992943407216,110.13258464497174,112.94083638351198,111.95156099690256,116.89514976993881,116.02525714589184,114.55667513683719,112.56997563164569,134.81958512129725,161.98706152505693,174.01409449139697,207.30031276854405,208.65640318291173,218.45398401670556,263.58143153799045,327.8223121625631,378.0443051131831,337.9783716852848,322.7774529149617,271.12984423497744,252.8697850447877,244.41094173310134,303.34903560315774,344.50314675279697,346.73663130027666,311.6780452077007,393.68676796567996,385.7538407454753,317.9627360158668,411.9261797232461,279.66674903802516,367.3877142955969,387.4320981834736,361.0999823694689,379.44176751517773,551.8214294311767,512.673901962619,518.0674741346961,574.9297981557892,711.2849547718467,798.7443045038086,822.7851431247042,856.0549165598729,966.2036183101579,1125.426133980724,1088.7579057345902,1036.534515024039,1130.273251280148,1145.1401047947709,1251.2097674537858,1291.410184805786,1076.7966978558513,1087.2873314854749,1136.593871784478,1241.8252980053046,1219.515505969046,1291.0409721544083,1428.4471767132468
19,Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,68.42473440062473,71.55818009243704,76.52054931454299,78.37219583303286,80.47271812073849,81.72505232479246,82.54568400655698,84.36307020394771,84.7329371553071,86.52020913182633,81.50001460107617,84.28782858432068,99.32674697369096,113.78034143398176,124.35889643063659,152.72799677491182,155.6490568638907,176.78335096343935,225.9415178144013,262.07600964215874,282.68585009620915,254.23046874077176,245.0944908952304,217.99460236345263,193.84327313825258,200.89435179940017,256.762480687544,291.13161665354727,313.06159138278196,304.8535208758398,351.9792335217807,346.41059588832655,361.04687562739093,334.94323699718205,193.07028019526217,235.83215055348558,249.36055885540304,229.49294931301367,255.7182366628827,300.4217238961089,255.71868725731943,267.0975996290235,294.66538854659274,374.6273579704728,418.3766602819197,457.93343076338306,473.4498681663336,535.0622794515355,643.4045810230356,624.1751645445823,647.8360955378786,751.1727704110052,758.000426972403,787.4694383090848,792.8462374252699,653.3272681394697,688.2506962581966,734.9962679605284,804.5005378215156,796.1152068276757,857.9327296502231,918.1525819214601
